phage_id,host_id,label,prob
JF974294,NZ_CP026219,1,0.6373973742962246
JQ312117,NC_015508,1,0.5594645974973135
NC_021068,NC_006840,1,0.6910961129672191
HG428758,NZ_CP016980,1,0.7233715915093271
JF773396,NC_022793,1,0.5914931001006728
NC_019550,NC_022793,1,0.5705865420095139
HQ377373,NC_022793,1,0.5705865420095139
AE002163,NZ_LN847000,1,0.5089180380609098
JX045650,NZ_CP031104,1,0.544350245645973
JX045649,NZ_CP031104,1,0.5835491377337477
HQ141410,NZ_CP027197,1,0.5837426096031472
JQ867100,NC_009654,1,0.6268961906185844
AY940168,NZ_CP007753,1,0.7822913921261868
KC542353,NZ_CP013188,1,0.8144111391441784
JF974296,NZ_CP022523,1,0.5615436852343756
HM588722,NZ_CP022523,1,0.6013846486590718
JF974295,NC_021662,1,0.4197600495588382
JF974308,NZ_CP017784,1,0.39747261204063633
JF974307,NZ_CP015043,1,0.563817959228303
NC_009987,NZ_CP012425,1,0.5483834730900069
HQ317387,NZ_CP018081,1,0.4053831665008806
FJ591094,NZ_CP018081,1,0.48404658934319705
EF372997,NC_019681,1,0.16467287082978388
GU071108,NC_019681,1,0.3315775557426367
HQ634189,NC_019681,1,0.4411299894739674
HQ634188,NC_019681,1,0.39807572798302626
HQ634187,NC_019681,1,0.5094850540973488
HQ317291,NC_019681,1,0.43671300990279627
HQ317290,NC_019681,1,0.3950223232938898
HQ317385,NC_019681,1,0.3904470679138975
JF974289,NC_019681,1,0.3904470679138975
KF156339,NC_019681,1,0.23032517977118186
HQ317292,NC_019681,1,0.3735689983741784
HQ634177,NC_019681,1,0.35617741085815524
HQ634178,NC_019681,1,0.2721336221390124
HQ317383,NC_019681,1,0.45654995679122573
JF974288,NC_019681,1,0.3904470679138975
JF974293,NC_019681,1,0.4592159201619499
KF156338,NC_019681,1,0.3568817704021792
KF156340,NC_019681,1,0.23386791158019107
HQ317389,NC_019681,1,0.39905526624274984
HQ633071,NC_019681,1,0.1669348165030308
AJ630128,NC_019681,1,0.34849755217377576
AF338467,NC_019681,1,0.3076391223150978
JF974292,NC_019681,1,0.3886539480570698
GU071096,NC_019681,1,0.4636420009360339
